PROVNUM,STATE,RESTOT,BEDCERT,OVERALL_RATING,TOTHRD,PTHRD,WEIGHTED_ALL_CYCLES_SCORE
15009,AL,52.3,57,5,5.58904,0.03649,3.2
15010,AL,71.6,85,3,,,28
15012,AL,47.4,50,3,5.16081,0,31.2
15014,AL,79.7,92,3,3.69297,0.05883,33.6
15015,AL,93.5,103,3,3.51177,0.02332,19.2
15016,AL,121.1,149,4,3.84985,0.03637,23.2
15019,AL,93.9,124,4,3.41728,0.05782,9.6
15023,AL,140,201,3,4.481,0.01828,36
15024,AL,145.6,170,2,4.07354,0.02789,60
15027,AL,109.8,121,4,3.74777,0.03501,22.4
15028,AL,79.5,109,4,3.07583,0.03263,15.2
15031,AL,176,222,2,3.502,0.02413,52.2
15032,AL,121.4,154,4,3.46598,0.09771,41.6
15034,AL,67.4,78,3,3.88266,0.02444,34.4
15035,AL,104.6,129,4,4.68033,0.03362,10.4
15037,AL,54.4,105,2,4.16077,0.10653,84.8
15040,AL,119.7,138,2,3.06792,0.03594,54.4
15042,AL,94.4,125,5,3.95079,0,16.8
15044,AL,,64,4,,,16
15045,AL,95,103,2,4.05357,0,75.6
15047,AL,97,113,2,4.25457,0.05853,53.6
15048,AL,87,95,2,4.28706,0.02433,43.2
15049,AL,95,117,5,4.93768,0.14295,17.6
15050,AL,76.6,79,5,2.77921,0.02245,8
15053,AL,79.1,82,5,4.3302,0.02748,7.2
15060,AL,58.4,69,2,3.33927,0.02069,271.8
15063,AL,91.3,100,4,3.20171,0.04026,19.2
15065,AL,136.8,162,2,4.13283,0,59.2
15066,AL,55.3,63,5,3.50094,0.0432,12.8
15067,AL,90.1,103,1,3.30785,0.05962,29.6
15071,AL,47.7,50,4,4.95448,0.02767,6.4
15073,AL,201.5,208,4,4.64689,0.02782,19.2
15075,AL,198,216,1,3.67154,0.05657,235
15076,AL,213.3,197,1,4.23009,0.03503,76
15083,AL,89.4,111,3,3.18139,0.05288,44.8
15084,AL,99.8,103,5,4.00543,0.06863,9.6
15089,AL,59.1,61,5,4.70051,0.04093,0
15091,AL,167.4,190,5,3.66566,0.07489,13.6
15097,AL,65,83,4,4.28678,0.05196,47.2
15098,AL,99.5,119,5,3.62714,0.02082,16
15100,AL,138.8,174,5,4.89165,0.04166,22.4
15101,AL,46.9,50,5,3.46882,0.03668,8
15103,AL,130.2,164,4,4.15002,0.01819,37.6
15104,AL,67.7,91,4,4.1379,0.02316,35.2
15109,AL,81.5,95,2,4.30406,0.02996,80.8
15111,AL,119.1,145,2,3.57961,0.12619,36
15112,AL,95.3,111,5,3.45803,0.02452,12
15113,AL,166.1,183,1,3.14614,0.04401,67.2
15114,AL,100.1,107,4,3.12331,0.02035,11.2
15115,AL,107.4,114,3,3.91482,0.02459,32.8
15116,AL,128.9,159,2,3.59738,0.09801,40
15117,AL,97.3,100,4,3.51507,0.03463,24
15119,AL,128.3,172,2,3.39741,0.07138,145.6
15120,AL,142.7,151,5,3.80008,0.11531,24
15121,AL,66.2,69,1,3.54195,0.04293,52.8
15123,AL,76.1,88,2,4.32822,0.01517,159.6
15124,AL,53,83,5,4.95374,0.01406,20
15126,AL,91.4,123,4,4.84265,0.03418,27.2
15127,AL,111.6,129,4,3.11684,0.06514,22.4
15128,AL,116,136,5,3.71367,0.04622,24
15129,AL,89.6,100,2,3.8036,0.04001,84.6
15132,AL,140.5,173,3,3.21232,0.05812,39.2
15133,AL,119,148,2,3.44094,0.1088,51.2
15134,AL,117.4,132,2,2.9725,0.04949,59.2
15135,AL,61.6,98,5,4.94597,0.04328,14.4
15136,AL,104.5,116,5,4.55947,0.02243,19.2
15137,AL,85.1,100,5,3.69171,0.03678,5.6
15138,AL,88.1,110,4,4.06163,0.02842,27.2
15139,AL,95.2,111,4,3.8517,0.02736,33.6
15141,AL,46.1,85,2,4.36741,0.05045,48
15142,AL,94.1,101,5,4.09339,0.02126,14.4
15143,AL,163.3,182,2,5.22516,0.03637,51.2
15144,AL,146.8,198,2,4.12756,0.02339,553.2
15145,AL,120.5,132,5,2.90046,0.06822,8
15147,AL,112.7,125,2,3.39694,0.04176,62.4
15148,AL,81.9,87,5,3.32069,0.07183,9.6
15149,AL,67.2,71,5,,,13.6
15150,AL,85.5,96,3,3.06042,0.0496,25.6
15151,AL,101,170,5,4.36036,0.07286,24
15152,AL,157.6,170,5,4.84408,0.08483,25.6
15153,AL,109.2,117,3,,,24
15154,AL,114.4,122,4,3.83182,0.03321,19.2
15155,AL,136,148,4,4.03274,0.01849,11.2
15156,AL,110.6,123,5,3.84513,0.02033,14.4
15157,AL,73.5,97,3,4.69528,0.03907,38.4
15158,AL,55.3,71,5,3.88214,0,5.6
15159,AL,107.7,120,5,3.00164,0.05002,13.6
15160,AL,141.2,149,4,3.57116,0.02507,14.4
15162,AL,202.2,234,3,4.58361,0.02993,32
15163,AL,153.9,159,4,4.78741,0.04125,24
15164,AL,85.5,120,5,3.23475,0.03084,22.4
15166,AL,90.5,144,2,4.36826,0.0206,208.8
15167,AL,73.3,79,3,3.74251,0.07026,36.8
15168,AL,70.8,75,5,4.40276,0.08986,3.2
15169,AL,138.4,147,4,3.34273,0.08968,26.4
15171,AL,101.8,123,5,4.50592,0.07823,24
15174,AL,86.7,124,3,3.76988,0.09407,31.2
15175,AL,157.3,166,2,4.31203,0.053,50.4
15176,AL,134.8,143,3,3.63663,0,31.2
15177,AL,68,75,5,4.72447,0.02862,0
15178,AL,48.3,72,2,4.37432,0,48
15179,AL,71.6,74,2,4.79242,0.03518,196.8
15180,AL,152.7,168,2,4.71727,0.04975,52
